-9195.68,29284.5
-13838,19450.9
-19996.9,33546.9
-8136.76,37876
-26547,2170.47
-25935.8,19896.1
-15854.1,25714.5
-12617.1,23147.3
-27890.3,39298.8
-1820.38,4294.15
-2997.42,23581.2
-12189.8,17867.7
-3668.77,5366.41
-38760,4550.33
-13298.8,20238.4
-14179,26124.4
-6785.8,23752.5
-10158.1,18514.2
-12701.1,24918
-11821.3,14564.6
-14657.6,21085.8
-11451.9,21772.9
-15346.3,22174.5
-21111.4,26520.7
-9970.14,11876.3
-27004.2,28102.1
7446.07,28006.5
-34086.6,28161
-16224.1,16162.6
-17127.2,11198.8
3351.61,33585.4
-18246.5,31009.2
-22010.6,16693.3
-9422.58,25849
-13958.3,32454.1
-32964.4,8387.87
-18756.4,18935.7
-11328.7,16894
-16071.9,22670
-11332.7,5408.03
-31512.1,22343.1
-20464.9,17618
955.312,24743.5
-2185.71,35751.3
-25403.7,28676
-26390.4,8371.15
-17927.4,22186.1
-20624,21649.6
-16335.3,37285.1
-28182.6,4401.1
1643.15,27439.1
-26690.1,-1471.3
-21651.5,11386.4
-27688.3,20792.5
-9574.06,22797
-13490.1,25129.9
-34139.3,33227.2
-35703.5,1710.54
-7671.74,11550
-16962.4,23927.4
-15152.1,739.715
-4754.27,16768.4
-19117.8,13515.5
-15259.3,24073.2
-8290.02,865.033
-27943.8,11277.6
-22943.7,14594.3
-10378.8,29799.2
-18294.1,25047.7
-26132.5,6080.82
-3981.85,-3319.76
2275.26,27286.6
-23088.6,32109
-10827,19402
-17069.5,28801.3
-13368.7,7261.23
-9674.56,29062.3
-9614.19,16128.5
-20423,27780.4
-27234.8,14047.2
-15271.9,24607.6
-27704.7,17871.8
-16260.2,4824.92
-3875.38,7796.34
-13451.4,28234.4
-18461.3,20934.6
-13259.3,21384.9
-21920.1,17929.7
-9032.17,4804.75
-21750.6,18512.9
-7908.81,12401
-6843.51,8406.47
-19825.8,15547.2
-27975.7,29329.3
-12153.1,13982.4
-1670.59,15834.7
-10573.6,29029.7
-28000.9,32583.9
-24019,17576.1
-15439.7,17508.2
-16121.3,20523
-7426.51,20050.2
-26452,21927.5
-6375.31,29657.8
-16131.2,3976.21
-20733.5,3874.03
-20383.9,11732.6
-13989.7,16819.9
-12811.9,15781.3
-16611,28066.2
-24961,15239.3
-14327.2,19804.6
-21564.8,21518.4
-25752.9,20470.5
-10299.8,16095.8
-23713.2,19265.6
-19336.2,23231.7
-13055.2,17426.7
-20803.9,20187.7
-19564.3,17834.1
